Тип;Время_мс;Операции
Insert;0,847600;1
Insert;0,719900;5
Insert;0,000700;5
Insert;0,263500;14
Insert;0,000700;14
Insert;0,000500;14
Insert;0,000300;14
Insert;0,000400;9
Insert;0,000800;23
Insert;0,000600;18
Insert;0,000500;18
Insert;0,000600;18
Insert;0,000600;23
Insert;0,000400;14
Insert;0,000600;23
Insert;0,000600;23
Insert;0,000600;23
Insert;0,000700;27
Insert;0,000600;23
Insert;0,000600;23
Insert;0,000400;14
Insert;0,000700;32
Insert;0,000800;36
Insert;0,000600;23
Insert;0,000600;27
Insert;0,000700;36
Insert;0,000700;32
Insert;0,000700;32
Insert;0,000400;14
Insert;0,000600;32
Insert;0,001100;50
Insert;0,000700;27
Insert;0,000600;23
Insert;0,000900;41
Insert;0,000300;9
Insert;0,001000;45
Insert;0,000600;27
Insert;0,000600;27
Insert;0,003300;23
Insert;0,000400;18
Insert;0,000900;41
Insert;0,000700;32
Insert;0,001000;41
Insert;0,000800;32
Insert;0,001100;50
Insert;0,001200;45
Insert;0,000700;36
Insert;0,000300;14
Insert;0,000400;18
Insert;0,000700;32
Insert;0,000500;18
Insert;0,001000;45
Insert;0,000600;27
Insert;0,000700;27
Insert;0,000500;18
Insert;0,000900;41
Insert;0,000600;23
Insert;0,001000;45
Insert;0,000800;36
Insert;0,000600;27
Insert;0,000800;45
Insert;0,000600;36
Insert;0,000800;36
Insert;0,000900;41
Insert;0,000700;36
Insert;0,000800;32
Insert;0,000800;36
Insert;0,000900;50
Insert;0,000500;23
Insert;0,000900;41
Insert;0,000500;27
Insert;0,000900;41
Insert;0,000600;36
Insert;0,000700;36
Insert;0,001000;50
Insert;0,000600;27
Insert;0,000900;41
Insert;0,000500;18
Insert;0,000700;32
Insert;0,001000;45
Insert;0,000600;27
Insert;0,000900;50
Insert;0,000700;36
Insert;0,000600;27
Insert;0,000600;23
Insert;0,000600;32
Insert;0,000800;32
Insert;0,001200;63
Insert;0,000800;36
Insert;0,000700;36
Insert;0,001100;41
Insert;0,000600;32
Insert;0,000900;45
Insert;0,001000;54
Insert;0,000600;32
Insert;0,001400;68
Insert;0,000600;27
Insert;0,000700;41
Insert;0,000800;41
Insert;0,000700;36
Insert;0,000700;32
Insert;0,001100;50
Insert;0,000500;23
Insert;0,001600;86
Insert;0,000900;41
Insert;0,000700;32
Insert;0,000700;36
Insert;0,000600;32
Insert;0,000800;45
Insert;0,000800;41
Insert;0,000500;27
Insert;0,000800;41
Insert;0,001400;77
Insert;0,000700;36
Insert;0,000800;41
Insert;0,001000;50
Insert;0,000500;23
Insert;0,000500;23
Insert;0,000900;45
Insert;0,000600;23
Insert;0,000600;27
Insert;0,000600;27
Insert;0,000900;45
Insert;0,001000;50
Insert;0,000600;27
Insert;0,000800;41
Insert;0,000700;36
Insert;0,000800;45
Insert;0,001400;59
Insert;0,001100;45
Insert;0,001100;59
Insert;0,000500;27
Insert;0,000500;27
Insert;0,001100;59
Insert;0,000500;18
Insert;0,000600;27
Insert;0,001100;63
Insert;0,000600;32
Insert;0,000500;23
Insert;0,001700;95
Insert;0,001100;54
Insert;0,000700;32
Insert;0,000600;32
Insert;0,000800;41
Insert;0,001200;68
Insert;0,000700;36
Insert;0,000900;45
Insert;0,000600;27
Insert;0,000700;36
Insert;0,001100;59
Insert;0,000600;27
Insert;0,000800;45
Insert;0,000700;32
Insert;0,000700;32
Insert;0,001200;68
Insert;0,000900;50
Insert;0,001100;68
Insert;0,001000;54
Insert;0,000800;41
Insert;0,000700;27
Insert;0,000700;36
Insert;0,000700;36
Insert;0,001200;63
Insert;0,001300;68
Insert;0,000900;50
Insert;0,000800;41
Insert;0,000700;36
Insert;0,000800;41
Insert;0,000900;50
Insert;0,001300;81
Insert;0,000700;36
Insert;0,001000;59
Insert;0,000700;36
Insert;0,001100;59
Insert;0,000800;45
Insert;0,001000;54
Insert;0,001100;50
Insert;0,000600;32
Insert;0,000400;18
Insert;0,001300;77
Insert;0,001200;54
Insert;0,000900;45
Insert;0,000800;41
Insert;0,000800;36
Insert;0,000600;27
Insert;0,000800;41
Insert;0,000600;23
Insert;0,000900;45
Insert;0,000900;45
Insert;0,001000;50
Insert;0,000800;45
Insert;0,001000;45
Insert;0,000800;41
Insert;0,000900;50
Insert;0,000900;41
Insert;0,000800;41
Insert;0,001100;63
Insert;0,000800;45
Insert;0,000600;27
Insert;0,000600;32
Insert;0,000900;50
Insert;0,000900;45
Insert;0,001200;63
Insert;0,000900;45
Insert;0,001300;68
Insert;0,001000;54
Insert;0,000500;27
Insert;0,001000;50
Insert;0,001300;72
Insert;0,000700;36
Insert;0,001300;68
Insert;0,000700;36
Insert;0,001000;54
Insert;0,000500;27
Insert;0,001200;63
Insert;0,000700;32
Insert;0,001000;59
Insert;0,000500;27
Insert;0,001000;50
Insert;0,000900;45
Insert;0,000800;41
Insert;0,000900;45
Insert;0,001000;50
Insert;0,000700;36
Insert;0,001000;50
Insert;0,001400;72
Insert;0,000700;36
Insert;0,001200;68
Insert;0,001000;54
Insert;0,000900;50
Insert;0,001300;68
Insert;0,000900;50
Insert;0,001000;50
Insert;0,000800;41
Insert;0,000900;50
Insert;0,000600;27
Insert;0,000700;36
Insert;0,001100;54
Insert;0,000900;50
Insert;0,000900;45
Insert;0,001100;59
Insert;0,001300;68
Insert;0,000700;36
Insert;0,000800;41
Insert;0,000800;36
Insert;0,001100;54
Insert;0,000900;45
Insert;0,000800;41
Insert;0,001200;68
Insert;0,000800;45
Insert;0,001200;68
Insert;0,000900;45
Insert;0,000700;36
Insert;0,000900;45
Insert;0,001000;50
Insert;0,000600;27
Insert;0,000900;50
Insert;0,001000;45
Insert;0,000900;54
Insert;0,001200;68
Insert;0,000800;41
Insert;0,000900;45
Insert;0,001300;77
Insert;0,001000;50
Insert;0,000600;27
Insert;0,000600;27
Insert;0,001200;68
Insert;0,000600;27
Insert;0,000900;45
Insert;0,001000;54
Insert;0,000600;32
Insert;0,000900;41
Insert;0,000700;32
Insert;0,001300;77
Insert;0,001100;54
Insert;0,001100;54
Insert;0,001300;59
Insert;0,000700;36
Insert;0,000800;41
Insert;0,000800;32
Insert;0,000900;41
Insert;0,001200;63
Insert;0,001300;63
Insert;0,000600;23
Insert;0,000700;41
Insert;0,000700;41
Insert;0,000800;50
Insert;0,001000;54
Insert;0,001000;41
Insert;0,001000;54
Insert;0,000800;41
Insert;0,000800;36
Insert;0,000900;41
Insert;0,001400;81
Insert;0,000800;41
Insert;0,000700;45
Insert;0,000900;45
Insert;0,001200;72
Insert;0,001200;63
Insert;0,000800;41
Insert;0,001000;54
Insert;0,001400;68
Insert;0,000900;45
Insert;0,000900;54
Insert;0,001100;41
Insert;0,000900;50
Insert;0,000800;45
Insert;0,000600;32
Insert;0,001200;68
Insert;0,000600;32
Insert;0,001000;54
Insert;0,000800;45
Insert;0,001200;72
Insert;0,000700;36
Insert;0,001400;81
Insert;0,000600;36
Insert;0,000600;27
Insert;0,001000;63
Insert;0,000800;50
Insert;0,000600;32
Insert;0,000900;45
Insert;0,001200;63
Insert;0,000700;36
Insert;0,001000;54
Insert;0,001200;72
Insert;0,001000;63
Insert;0,000900;50
Insert;0,000600;36
Insert;0,000900;45
Insert;0,000700;41
Insert;0,001200;72
Insert;0,000800;36
Insert;0,000900;45
Insert;0,001500;81
Insert;0,000800;45
Insert;0,001100;63
Insert;0,001300;72
Insert;0,000700;36
Insert;0,000700;41
Insert;0,001000;59
Insert;0,001000;63
Insert;0,001100;59
Insert;0,000900;45
Insert;0,001000;50
Insert;0,001300;68
Insert;0,001000;63
Insert;0,000600;32
Insert;0,000600;32
Insert;0,001200;68
Insert;0,001200;59
Insert;0,001300;77
Insert;0,001000;59
Insert;0,001000;59
Insert;0,001100;54
Insert;0,001000;63
Insert;0,001600;95
Insert;0,000600;27
Insert;0,001000;59
Insert;0,001100;59
Insert;0,000800;45
Insert;0,000900;50
Insert;0,000800;41
Insert;0,000600;27
Insert;0,000600;32
Insert;0,000500;18
Insert;0,001300;72
Insert;0,001000;45
Insert;0,000700;32
Insert;0,001200;63
Insert;0,001200;63
Insert;0,001000;54
Insert;0,000700;32
Insert;0,001200;50
Insert;0,001100;45
Insert;0,001400;77
Insert;0,001300;68
Insert;0,001000;45
Insert;0,000800;32
Insert;0,001100;54
